@Relation genericBIFF

@attribute sepallength real
@attribute sepalwidth real
@attribute petallength real
@attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@data
4.6,3.4,1.4,0.3,Iris-setosa
4.4,?,1.4,?,?
5.1,3.5,1.4,0.3,?
4.8,3.1,?,0.2,Iris-setosa
5.1,?,1.5,0.2,Iris-setosa
?,3.2,?,0.2,Iris-setosa
?,3.2,4.5,1.5,Iris-versicolor
?,2.8,4.5,?,?
5.9,3.0,4.2,1.5,?
?,?,3.6,?,?
5.8,?,3.9,1.2,Iris-versicolor
5.4,?,4.5,?,Iris-versicolor
?,2.5,4.0,?,?
?,2.6,4.0,1.2,Iris-versicolor
6.3,?,6.0,2.5,Iris-virginica
