@Relation genericBIFF

@attribute sepallength real
@attribute sepalwidth real
@attribute petallength real
@attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@data
5.7,?,1.5,0.4,?
4.6,3.6,?,0.2,Iris-setosa
5.0,?,?,?,?
?,3.5,?,0.2,Iris-setosa
?,3.2,1.6,0.2,?
5.0,3.2,1.2,?,?
5.0,3.5,?,0.3,Iris-setosa
?,2.5,3.9,1.1,?
6.1,2.8,?,?,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor
5.0,?,?,1.0,Iris-versicolor
?,3.0,4.2,1.2,?
6.7,?,5.8,1.8,?
6.2,2.8,?,1.8,?
6.4,?,5.6,2.2,?
