real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
6,5.4,3.9,1.7,0.4,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
32,5.4,3.4,1.5,0.4,Iris-setosa
34,5.5,4.2,1.4,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
41,5.0,3.5,1.3,0.3,Iris-setosa
51,7.0,3.2,4.7,1.4,Iris-versicolor
79,6.0,2.9,4.5,1.5,Iris-versicolor
82,5.5,2.4,3.7,1.0,Iris-versicolor
86,6.0,3.4,4.5,1.6,Iris-versicolor
