real,real,real
ID,sepalwidth,petalwidth
2,3.0,0.2
41,3.5,0.3
44,3.5,0.6
47,3.8,0.2
62,3.0,1.5
71,3.2,1.8
86,3.4,?
94,2.3,1.0
95,2.7,1.3
108,2.9,?
121,3.2,2.3
130,3.0,1.6
138,3.1,1.8
142,3.1,2.3
146,3.0,2.3
26,3.0,0.2
32,3.4,0.4
50,3.3,0.2
61,2.0,1.0
63,2.2,1.0
68,2.7,?
72,2.8,1.3
78,3.0,1.7
83,2.7,1.2
91,2.6,1.2
98,2.9,1.3
113,3.0,2.1
125,3.3,2.1
132,3.8,2.0
137,3.4,2.4
27,3.4,0.4
39,3.0,0.2
42,2.3,0.3
53,?,1.5
88,2.3,1.3
97,2.9,1.3
109,2.5,1.8
111,3.2,2.0
119,2.6,2.3
131,2.8,1.9
135,2.6,1.4
141,3.1,2.4
148,3.0,2.0
149,3.4,2.3
150,3.0,1.8
8,3.4,0.2
12,3.4,0.2
15,4.0,0.2
16,4.4,0.4
54,?,1.3
55,2.8,1.5
57,3.3,1.6
80,2.6,1.0
82,2.4,1.0
96,3.0,1.2
105,3.0,2.2
122,2.8,2.0
127,2.8,?
128,3.0,1.8
133,2.8,2.2
18,3.5,0.3
35,3.1,0.1
37,3.5,0.2
52,3.2,1.5
64,2.9,1.4
67,?,1.5
81,2.4,1.1
103,3.0,2.1
112,2.7,1.9
136,3.0,2.3
140,3.1,2.1
143,2.7,1.9
144,3.2,2.3
145,3.3,2.5
147,2.5,1.9
22,3.7,0.4
34,4.2,0.2
43,3.2,0.2
51,3.2,1.4
59,2.9,1.3
101,3.3,2.5
114,2.5,2.0
115,2.8,2.4
120,2.2,1.5
123,2.8,2.0
124,?,1.8
126,3.2,1.8
129,2.8,2.1
134,?,1.5
139,3.0,1.8
1,3.5,?
3,3.2,0.2
6,3.9,0.4
17,3.9,0.4
19,3.8,0.3
21,3.4,0.2
24,3.3,0.5
31,3.1,0.2
66,3.1,1.4
69,2.2,1.5
70,2.5,1.1
76,3.0,1.4
93,2.6,1.2
102,2.7,1.9
116,3.2,2.3
14,3.0,0.1
23,?,0.2
28,3.5,0.2
30,3.2,?
33,4.1,0.1
45,3.8,0.4
46,3.0,0.3
89,3.0,1.3
92,3.0,1.4
104,?,1.8
106,3.0,2.1
107,2.5,1.7
110,3.6,2.5
117,3.0,1.8
118,3.8,2.2
7,3.4,0.3
9,2.9,0.2
10,3.1,0.1
25,3.4,0.2
36,3.2,0.2
38,3.1,0.1
49,3.7,0.2
56,?,1.3
65,2.9,1.3
73,2.5,1.5
77,2.8,1.4
84,2.7,1.6
90,2.5,?
99,2.5,1.1
100,2.8,1.3
