real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
1,5.1,3.5,1.4,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
27,5.0,3.4,1.6,0.4,Iris-setosa
41,5.0,?,1.3,0.3,Iris-setosa
52,6.4,3.2,4.5,1.5,Iris-versicolor
57,6.3,3.3,4.7,1.6,Iris-versicolor
60,5.2,2.7,3.9,1.4,Iris-versicolor
79,6.0,?,4.5,1.5,Iris-versicolor
91,5.5,2.6,4.4,1.2,Iris-versicolor
92,6.1,?,4.6,1.4,Iris-versicolor
93,5.8,2.6,4.0,1.2,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-virginica
131,7.4,2.8,6.1,1.9,Iris-virginica
