sepallength,sepalwidth,petallength,petalwidth,label
4.8,3.4,1.9,0.2,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
5.6,3.0,4.1,1.3,Iris-versicolor
5.7,3.0,4.2,1.2,Iris-versicolor
5.1,2.5,3.0,1.1,Iris-versicolor
6.3,3.3,6.0,2.5,Iris-virginica
6.5,3.0,5.5,1.8,Iris-virginica
7.7,2.6,6.9,2.3,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
7.7,2.8,6.7,2.0,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
7.2,3.0,5.8,1.6,Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
