real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
45,5.1,3.8,1.9,?,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
57,6.3,3.3,4.7,1.6,Iris-versicolor
60,5.2,2.7,3.9,?,Iris-versicolor
61,5.0,2.0,3.5,1.0,Iris-versicolor
64,6.1,2.9,?,?,Iris-versicolor
67,5.6,3.0,?,1.5,Iris-versicolor
69,6.2,2.2,4.5,?,Iris-versicolor
86,6.0,?,4.5,1.6,Iris-versicolor
92,6.1,3.0,4.6,1.4,Iris-versicolor
111,?,3.2,5.1,2.0,Iris-virginica
139,6.0,?,?,?,Iris-virginica
143,5.8,2.7,5.1,1.9,Iris-virginica
146,6.7,3.0,5.2,?,Iris-virginica
148,6.5,3.0,5.2,2.0,Iris-virginica
