real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
6,5.4,3.9,1.7,0.4,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
16,5.7,4.4,1.5,0.4,Iris-setosa
18,5.1,3.5,1.4,0.3,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
34,5.5,4.2,1.4,0.2,Iris-setosa
38,4.9,3.1,1.5,0.1,Iris-setosa
79,6.0,2.9,4.5,1.5,Iris-versicolor
86,6.0,3.4,?,1.6,Iris-versicolor
93,5.8,2.6,4.0,1.2,Iris-versicolor
99,5.1,2.5,3.0,1.1,Iris-versicolor
103,7.1,3.0,5.9,2.1,Iris-virginica
134,6.3,2.8,5.1,1.5,Iris-virginica
140,6.9,3.1,5.4,2.1,Iris-virginica
144,6.8,3.2,5.9,2.3,Iris-virginica
