real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
3,4.7,3.2,1.3,?,Iris-setosa
5,5.0,3.6,1.4,?,Iris-setosa
12,4.8,3.4,?,0.2,Iris-setosa
18,?,?,1.4,0.3,Iris-setosa
28,?,3.5,1.5,0.2,?
41,5.0,3.5,1.3,0.3,Iris-setosa
52,6.4,3.2,4.5,1.5,Iris-versicolor
58,4.9,2.4,3.3,1.0,Iris-versicolor
79,?,2.9,4.5,?,Iris-versicolor
98,6.2,2.9,4.3,1.3,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-virginica
112,6.4,2.7,5.3,1.9,Iris-virginica
116,6.4,3.2,5.3,?,Iris-virginica
126,7.2,3.2,6.0,1.8,Iris-virginica
140,6.9,3.1,5.4,2.1,Iris-virginica
