@Relation genericBIFF

@attribute sepallength real
@attribute sepalwidth real
@attribute petallength real
@attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@data
?,3.2,?,0.2,Iris-setosa
4.9,?,?,?,?
4.8,3.4,1.6,0.2,Iris-setosa
5.5,4.2,1.4,0.2,?
?,3.5,?,0.6,Iris-setosa
?,3.1,?,1.4,Iris-versicolor
5.8,2.7,4.1,?,Iris-versicolor
5.1,?,3.0,1.1,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
7.7,2.6,?,2.3,Iris-virginica
6.3,3.4,?,?,Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica
?,?,5.2,?,Iris-virginica
6.5,3.0,5.2,2.0,?
6.2,3.4,5.4,2.3,?
