real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
8,5.0,3.4,1.5,0.2,Iris-setosa
13,4.8,3.0,1.4,0.1,Iris-setosa
36,5.0,3.2,1.2,0.2,Iris-setosa
56,5.7,2.8,4.5,1.3,Iris-versicolor
68,5.8,2.7,4.1,1.0,Iris-versicolor
70,5.6,2.5,3.9,1.1,Iris-versicolor
79,6.0,2.9,4.5,1.5,Iris-versicolor
80,5.7,2.6,3.5,1.0,Iris-versicolor
89,5.6,3.0,4.1,1.3,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-virginica
113,6.8,3.0,5.5,2.1,Iris-virginica
117,6.5,3.0,5.5,1.8,Iris-virginica
122,5.6,2.8,4.9,2.0,Iris-virginica
126,7.2,3.2,6.0,1.8,Iris-virginica
129,6.4,2.8,5.6,2.1,Iris-virginica
