sepallength,sepalwidth,petallength,petalwidth,label
4.8,3.4,1.6,0.2,Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa
5.0,3.5,1.3,0.3,Iris-setosa
5.3,3.7,1.5,0.2,Iris-setosa
5.6,2.9,3.6,1.3,Iris-versicolor
5.6,3.0,4.5,1.5,Iris-versicolor
5.5,2.5,4.0,1.3,Iris-versicolor
5.7,3.0,4.2,1.2,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
5.8,2.7,5.1,1.9,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
7.7,2.8,6.7,2.0,Iris-virginica
6.1,3.0,4.9,1.8,Iris-virginica
7.9,3.8,6.4,2.0,Iris-virginica
