real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
2,4.9,3.0,1.4,0.2,Iris-setosa
13,4.8,3.0,1.4,0.1,Iris-setosa
14,4.3,3.0,1.1,0.1,Iris-setosa
23,4.6,3.6,1.0,0.2,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
47,5.1,3.8,1.6,?,Iris-setosa
51,7.0,3.2,4.7,1.4,Iris-versicolor
54,5.5,2.3,4.0,1.3,?
59,6.6,2.9,4.6,1.3,Iris-versicolor
94,5.0,2.3,3.3,1.0,Iris-versicolor
96,5.7,3.0,4.2,1.2,Iris-versicolor
112,6.4,2.7,?,1.9,Iris-virginica
113,6.8,3.0,5.5,2.1,Iris-virginica
119,7.7,2.6,6.9,2.3,Iris-virginica
125,6.7,3.3,5.7,2.1,Iris-virginica
