@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
4.6,3.1,1.5,0.2,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
7.0,3.2,4.7,1.4,Iris-versicolor
6.0,2.2,4.0,1.0,Iris-versicolor
?,2.5,3.9,1.1,Iris-versicolor
6.1,2.8,4.0,1.3,?
6.1,2.8,4.7,1.2,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor
6.7,2.5,5.8,1.8,Iris-virginica
6.4,2.8,?,2.1,Iris-virginica
7.9,3.8,6.4,?,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
6.4,3.1,?,1.8,Iris-virginica
