real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
8,?,3.4,1.5,0.2,Iris-setosa
23,4.6,3.6,1.0,0.2,Iris-setosa
26,5.0,3.0,1.6,0.2,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
41,5.0,3.5,1.3,0.3,Iris-setosa
52,6.4,3.2,4.5,1.5,Iris-versicolor
66,6.7,3.1,4.4,1.4,Iris-versicolor
84,6.0,2.7,5.1,1.6,Iris-versicolor
97,5.7,2.9,4.2,1.3,Iris-versicolor
110,7.2,3.6,6.1,2.5,?
114,5.7,2.5,5.0,2.0,Iris-virginica
116,6.4,3.2,5.3,2.3,Iris-virginica
118,7.7,3.8,6.7,2.2,Iris-virginica
122,5.6,2.8,4.9,2.0,Iris-virginica
137,6.3,3.4,5.6,2.4,Iris-virginica
