sepallength,sepalwidth,petallength,petalwidth,label
5.5,3.5,1.3,0.2,Iris-setosa
5.1,3.4,1.5,0.2,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
7.0,3.2,4.7,1.4,Iris-versicolor
5.6,3.0,4.5,1.5,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
7.3,2.9,6.3,1.8,Iris-virginica
7.7,2.6,6.9,2.3,Iris-virginica
6.9,3.2,5.7,2.3,Iris-virginica
7.7,2.8,6.7,2.0,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
6.4,3.1,5.5,1.8,Iris-virginica
6.0,3.0,4.8,1.8,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
