real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
19,5.7,3.8,1.7,0.3,Iris-setosa
30,4.7,?,1.6,0.2,Iris-setosa
36,5.0,3.2,1.2,0.2,Iris-setosa
49,5.3,3.7,1.5,0.2,Iris-setosa
78,6.7,3.0,5.0,1.7,?
87,6.7,3.1,4.7,?,Iris-versicolor
95,5.6,2.7,4.2,1.3,Iris-versicolor
104,?,2.9,5.6,?,Iris-virginica
105,6.5,3.0,5.8,2.2,Iris-virginica
108,7.3,2.9,6.3,1.8,Iris-virginica
109,6.7,2.5,5.8,1.8,Iris-virginica
117,6.5,3.0,5.5,1.8,Iris-virginica
124,6.3,2.7,?,1.8,Iris-virginica
126,7.2,3.2,6.0,1.8,Iris-virginica
130,7.2,3.0,5.8,1.6,Iris-virginica
