real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
2,4.9,3.0,1.4,0.2,Iris-setosa
13,4.8,?,1.4,0.1,Iris-setosa
21,5.4,3.4,?,0.2,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
27,5.0,3.4,1.6,0.4,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
39,4.4,?,1.3,0.2,Iris-setosa
56,5.7,2.8,4.5,1.3,Iris-versicolor
64,6.1,?,4.7,1.4,Iris-versicolor
68,5.8,?,4.1,1.0,Iris-versicolor
69,6.2,2.2,4.5,1.5,?
77,6.8,2.8,4.8,1.4,Iris-versicolor
82,5.5,2.4,3.7,1.0,Iris-versicolor
88,6.3,2.3,4.4,1.3,Iris-versicolor
94,5.0,2.3,3.3,1.0,Iris-versicolor
