@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
5.1,3.8,1.9,?,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa
6.3,3.3,4.7,1.6,Iris-versicolor
5.2,2.7,3.9,?,Iris-versicolor
5.0,2.0,3.5,1.0,Iris-versicolor
6.1,2.9,?,?,Iris-versicolor
5.6,3.0,?,1.5,Iris-versicolor
6.2,2.2,4.5,?,Iris-versicolor
6.0,?,4.5,1.6,Iris-versicolor
6.1,3.0,4.6,1.4,Iris-versicolor
?,3.2,5.1,2.0,Iris-virginica
6.0,?,?,?,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.7,3.0,5.2,?,Iris-virginica
6.5,3.0,5.2,2.0,Iris-virginica
