real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
6,5.4,?,1.7,0.4,Iris-setosa
17,5.4,?,1.3,?,Iris-setosa
27,5.0,3.4,1.6,0.4,Iris-setosa
39,4.4,3.0,1.3,0.2,Iris-setosa
43,4.4,3.2,1.3,0.2,Iris-setosa
74,6.1,2.8,?,1.2,?
106,7.6,3.0,6.6,2.1,Iris-virginica
113,6.8,3.0,5.5,2.1,Iris-virginica
114,5.7,2.5,5.0,2.0,Iris-virginica
115,5.8,2.8,5.1,2.4,Iris-virginica
118,7.7,3.8,6.7,2.2,Iris-virginica
124,6.3,2.7,4.9,1.8,Iris-virginica
138,?,3.1,?,1.8,Iris-virginica
141,?,3.1,5.6,?,?
144,6.8,3.2,5.9,2.3,?
