real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
2,4.9,3.0,1.4,0.2,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
14,4.3,3.0,1.1,0.1,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
71,5.9,3.2,4.8,1.8,Iris-versicolor
78,6.7,3.0,5.0,1.7,Iris-versicolor
83,5.8,2.7,3.9,1.2,Iris-versicolor
95,5.6,2.7,4.2,1.3,Iris-versicolor
104,6.3,2.9,5.6,1.8,Iris-virginica
107,4.9,2.5,4.5,1.7,Iris-virginica
118,7.7,3.8,6.7,2.2,Iris-virginica
121,6.9,3.2,5.7,2.3,Iris-virginica
124,6.3,2.7,4.9,1.8,Iris-virginica
