real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
10,4.9,3.1,1.5,0.1,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
19,5.7,3.8,1.7,0.3,Iris-setosa
32,5.4,3.4,1.5,0.4,Iris-setosa
34,5.5,4.2,1.4,0.2,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
46,4.8,3.0,1.4,0.3,Iris-setosa
65,5.6,2.9,?,1.3,Iris-versicolor
75,6.4,2.9,4.3,1.3,Iris-versicolor
81,5.5,2.4,3.8,1.1,Iris-versicolor
85,5.4,3.0,4.5,1.5,Iris-versicolor
100,5.7,2.8,4.1,1.3,Iris-versicolor
130,7.2,3.0,5.8,1.6,Iris-virginica
135,6.1,2.6,5.6,1.4,Iris-virginica
147,6.3,2.5,5.0,1.9,Iris-virginica
