real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
3,?,3.2,?,0.2,Iris-setosa
10,4.9,?,?,?,?
12,4.8,3.4,1.6,0.2,Iris-setosa
34,5.5,4.2,1.4,0.2,?
44,?,3.5,?,0.6,Iris-setosa
66,?,3.1,?,1.4,Iris-versicolor
68,5.8,2.7,4.1,?,Iris-versicolor
99,5.1,?,3.0,1.1,Iris-versicolor
103,7.1,3.0,5.9,2.1,Iris-virginica
119,7.7,2.6,?,2.3,Iris-virginica
137,6.3,3.4,?,?,Iris-virginica
145,6.7,3.3,5.7,2.5,Iris-virginica
146,?,?,5.2,?,Iris-virginica
148,6.5,3.0,5.2,2.0,?
149,6.2,3.4,5.4,2.3,?
