sepallength,sepalwidth,petallength,petalwidth,label
5.0,3.4,1.6,0.4,Iris-setosa
4.4,3.0,1.3,0.2,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa
6.9,?,4.9,1.5,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
6.7,2.5,5.8,1.8,Iris-virginica
6.5,3.2,5.1,2.0,Iris-virginica
7.7,2.6,6.9,2.3,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
6.5,3.0,5.2,2.0,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica
5.9,3.0,5.1,1.8,Iris-virginica
