real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
3,4.7,3.2,1.3,0.2,Iris-setosa
19,5.7,3.8,1.7,0.3,Iris-setosa
35,4.9,3.1,1.5,0.1,?
61,5.0,2.0,3.5,1.0,Iris-versicolor
81,5.5,2.4,3.8,1.1,Iris-versicolor
87,6.7,3.1,4.7,?,Iris-versicolor
89,5.6,3.0,4.1,1.3,Iris-versicolor
105,6.5,3.0,5.8,2.2,Iris-virginica
107,4.9,2.5,4.5,?,Iris-virginica
115,5.8,2.8,5.1,2.4,Iris-virginica
135,6.1,2.6,5.6,1.4,Iris-virginica
142,6.9,3.1,5.1,2.3,Iris-virginica
143,?,2.7,5.1,1.9,Iris-virginica
149,6.2,3.4,5.4,2.3,?
150,5.9,3.0,5.1,1.8,Iris-virginica
